Classification,AllocationType,Description,ExpenseTypeCode,FormID,HasAttendees,HasExceptions,HasImage,HasVAT,ID,ExpenseTypeName,IsBillable,IsImageRequired,IsPersonal,IsPersonalCardCharge,LocationID,LocationName,PaymentTypeID,PaymentTypeName,PostedAmount,ReceiptReceived,ReportID,ReportOwnerID,SpendCategoryCode,SpendCategoryName,TaxReceiptType,TransactionAmount,TransactionCurrencyCode,TransactionDate,Vendor,ExchangeRate,ApprovedAmount
HasComments,N,Wireless Expenses for (408) 893-2205,1097,gWnhNrzltdWPQs7rL5IUB2v5knOf$sPXr7DQ,FALSE,FALSE,FALSE,FALSE,gWk7Lzqt2bpxb$p6OQAelm19pbViowjn4vZQ,Wireless Expenses,FALSE,TRUE,FALSE,FALSE,,,gWsZqV3MvnhFp$seGcoLUw9R3RfO2d,Cash,86.57,FALSE,E2116243E8C34EC6AD5C,rgona@anybiz.com,TELEC,Telecom,N,86.57,USD,12/09/12,AT&T Mobility,1,86.57
ApprovedAmount,N,Gift Card Purchase,MISCL,gWnhNrzltdBTeouH1uQBxvWSYa9IoPaw9$pA,FALSE,TRUE,TRUE,FALSE,gWk7Lzqt2aZxZN4PJrFQZAoIr3CvLKQSqyA,Miscellaneous,FALSE,FALSE,FALSE,FALSE,gWtbwiGzAsQYm7c7gZGUrlVf$pkcVyWtV0kA,"Seattle, Washington",gWsZqV3MvnhFp$seGcoLUw9R3RfO2d,Cash,10,FALSE,883B58E09939497BB547,chrish@anybiz.com,OTHER,Other,N,10,USD,09/05/12,Tango Card,1,10
ApprovedAmount,N,Wireless Expenses for (856) 264-7025,1097,gWnhNrzltdWPQs7rL5IUB2v5knOf$sPXr7DQ,FALSE,FALSE,TRUE,FALSE,gWk7Lzqt2Hu9Z3wlp0rQpCdcrQMpGtzE7qA,Wireless Expenses,FALSE,TRUE,FALSE,FALSE,,,gWtVuVmiVipgznkhk1I7uxa7lCwJg,Personal Credit Card,136.64,FALSE,2DF311849A4246DE959D,sara@mn.com,TELEC,Telecom,N,136.64,USD,03/06/13,Sprint Nextel,1,136.64
HasComments,N,Business Visit,LODNG,gWnhNrzltdRin22E63VXSCY9XAWoa2v9pZg,FALSE,FALSE,FALSE,TRUE,gWk7Lzqt3Gp0siyuuPzjOdTV5qEZHpi2VDg,Hotel,FALSE,TRUE,FALSE,FALSE,gWtbwiGzLsHJQ0nh5OM$sSl1yX8wOKF5eUag,"London, UNITED KINGDOM",gWsZqV3MvnhFp$seGcoLUw9R3RfO2d,Cash,360,FALSE,F5A9211806C04C21B122,jimw_test@anybizbu.com,LODGA,Lodging,T,360,GBP,12/09/11,All Suites International,1,360
ApprovedAmount,N,Business Visit,OFCSP,gWnhNrzltdWPQs7rL5IUB2v5knOf$sPXr7DQ,FALSE,FALSE,FALSE,FALSE,gWk7Lzqt0apha5MJIGZi0e9g$sB$sdp56$pf0Q,Office Supplies,FALSE,FALSE,FALSE,FALSE,gWtbwiG3NwgBXHlbk9dhGx$pTiHdcl7sJpCA,"Broomfield, Colorado",gWrQbNglpw$pQVSMJiMYJadw7fFTb3,Purchasing Card CBCP,374.64,FALSE,682369230A1A4155B988,HigherEd_Testuser@anybizbu.com,OFFIC,Office,N,374.64,USD,11/01/14,STAPLES,1,374.64
HasComments,N,Company Paid Expense received from MobilityCentral,1006,gWnhNrzltcRDVSsR0fkUK$sJ53VEUTwSJNPw,FALSE,FALSE,FALSE,FALSE,gWk7Lzqt1b5pbp6oc4xylSzzs91gspMxKuw,Fuel,FALSE,TRUE,FALSE,FALSE,,,gWsZqV3MvnhFp$seGcoLUw9R3RfO2d,Cash,287.93,FALSE,6E8A3849620D401E808B,sara@mn.com,GASXX,Gas,N,287.93,USD,06/30/11,T-Mobile,1,287.93
ApprovedAmount,N,Wireless Expenses for (512) 921-6074,1097,gWnhNrzltdWPQs7rL5IUB2v5knOf$sPXr7DQ,FALSE,FALSE,TRUE,FALSE,gWk7Lzqt1auwqXC1Ehym8EKE$sNb9MlRLg0g,Wireless Expenses,FALSE,TRUE,FALSE,FALSE,,,gWsZqV3MvnhFp$seGcoLUw9R3RfO2d,Cash,89.57,FALSE,3E0F4E23ED744E0C88FB,jug@trum.com,TELEC,Telecom,N,89.57,USD,05/24/13,AT&T Mobility,1,89.57
ApprovedAmount,N,Wireless Expenses for (856) 264-7025,1097,gWnhNrzltdWPQs7rL5IUB2v5knOf$sPXr7DQ,FALSE,FALSE,TRUE,FALSE,gWk7Lzqt2HpsuL3qlgHhOUoUG7QLat4sNWw,Wireless Expenses,FALSE,TRUE,FALSE,FALSE,,,gWtVuVmiVipgznkhk1I7uxa7lCwJg,Personal Credit Card,136.64,FALSE,A2446A5F43E64E039170,sara@mn.com,TELEC,Telecom,N,136.64,USD,03/06/13,Sprint Nextel,1,136.64
ApprovedAmount,N,Wireless Expenses for (856) 264-7025,1097,gWnhNrzltdWPQs7rL5IUB2v5knOf$sPXr7DQ,FALSE,FALSE,TRUE,FALSE,gWk7Lzqt1apxZGcd4JFg7W4vPhQcM$s13u$pQ,Wireless Expenses,FALSE,TRUE,FALSE,FALSE,,,gWsZqV3MvnhFp$seGcoLUw9R3RfO2d,Cash,134.41,FALSE,2A742363F297401CBD63,robe@nissan.com,TELEC,Telecom,N,134.41,USD,09/06/12,Sprint Nextel,1,134.41
HasComments,N,Business Visit,LODNG,gWnhNrzltcRDVSsR0fkUK$sJ53VEUTwSJNPw,FALSE,FALSE,TRUE,FALSE,gWk7Lzqt2aO0qbBXJYF2aV5$pdMKSQ$sgWT2w,Hotel,FALSE,FALSE,FALSE,FALSE,gWtbwiGzOw3dUeIZUxw7ZSebSN47bcEcJeA,"Bethesda, Maryland",gWrQbNgqaxXqX6DuSJc870XryfGqV,Corporate Card IBCP (Offsets),603.17,FALSE,5E2039369A3E4E11B9CF,marks@anybizbu.com,LODGA,Lodging,N,603.17,USD,01/30/13,Marriott Hotels,1,603.17
ApprovedAmount,N,Business Visit,1003,gWnhNrzltdBHWVyCL62Px6XaQwW6eRkJPFA,FALSE,FALSE,FALSE,FALSE,gWk7Lzqt3HuwrKJnp3SY1X2kEblzEbQ$s$pUg,Business Meals (Attendees)_MEX,FALSE,TRUE,FALSE,FALSE,gWtbwiGzPwnEjirg1BzQja2lGDw$sSQuIfsQ,"New York, New York",gWrQbNgqaxXqX6DuSJc870XryfGqV,Corporate Card IBCP (Offsets),586.77,FALSE,55BB5DD2C0A74BF8BEB3,daphnen_test2@anybizbu.com,ENTER,Entertainment,N,45.76,USD,03/20/12,Cafe Monte,12.82277098,45.76
ApprovedAmount,N,Gift Card Purchase,MISCL,gWnhNrzltdBTeouH1uQBxvWSYa9IoPaw9$pA,FALSE,TRUE,TRUE,FALSE,gWk7Lzqt2aZgp1CqneG0GjLFs1xlttU724A,Miscellaneous,FALSE,FALSE,FALSE,FALSE,,,gWsZqV3MvnhFp$seGcoLUw9R3RfO2d,Cash,10,FALSE,DBF95FC54FD54B379450,chrish@anybiz.com,OTHER,Other,N,10,USD,09/26/12,Tango Card,1,10
HasComments,N,Business Visit,UNDEF,gWnhNrzltdWPQs7rL5IUB2v5knOf$sPXr7DQ,FALSE,TRUE,FALSE,FALSE,gWk7Lzqt1au1adhw$sihswGXNzLrE9q7IgjQ,Undefined,FALSE,FALSE,FALSE,FALSE,gWtbwiGzOwHEiWzzAKNO9humKewlCkYGTGA,"Boston, Massachusetts",gWrQbNQqsS$pg3EcuGaK6dpVebIAgN,Corporate Card CBCP,12.8,FALSE,A9CF72A190EB4C009BDD,ambers@anybizbu.com,OTHER,Other,N,12.8,USD,02/20/13,Pizza House,1,12.8
ApprovedAmount,N,Web Service6,UNDEF,gWnhNrzltdRjW3DY87AgmBEMtHThc$p$sLnDg,FALSE,TRUE,FALSE,FALSE,gWk7Lzqt2Y58o6YqOPShsT$pqIScKFuIe$p$sg,Undefined,FALSE,TRUE,FALSE,FALSE,,,gWsZqV3MvnhFp$seGcoLUw9R3RfO2d,Cash,543,FALSE,B46EF1D6C75D48239B8F,astauffer@anybizbu.com,OTHER,Other,N,543,USD,02/05/13,Web Service6,1,543
HasComments,N,Business Visit,CARRT,gWnhNrzltdWKlyOwp$pW6GQKvIjfmz1HjRzg,FALSE,FALSE,TRUE,FALSE,gWk7Lzqt2H$staODA2l3C4HoOG9TGe5fQ2lw,Car Rental,FALSE,TRUE,FALSE,FALSE,gWtbwiGzOxQYl6zANprolyaNUUQB7BDy1xg,"Denver, Colorado",gWrQbNgqaxXqX6DuSJc870XryfGqV,Corporate Card IBCP (Offsets),523.12,FALSE,3D683A059B4F44E89691,nidusa@anybizbu.com,CARRT,Car Rental,N,523.12,USD,06/13/13,Hertz,1,523.12
ApprovedAmount,N,Wireless Expenses for (856) 264-7025,1097,gWnhNrzltdWPQs7rL5IUB2v5knOf$sPXr7DQ,FALSE,FALSE,TRUE,FALSE,gWk7Lzqt2Hu8pdhVCsoTffmUxC8gMqQwoEw,Wireless Expenses,FALSE,TRUE,FALSE,FALSE,,,gWtVuVmiVipgznkhk1I7uxa7lCwJg,Personal Credit Card,136.64,FALSE,732822E30F3E4FB0B7BE,sara@mn.com,TELEC,Telecom,N,136.64,USD,03/06/13,Sprint Nextel,1,136.64
ApprovedAmount,N,Wireless Expenses for (856) 264-7025,1097,gWnhNrzltdWPQs7rL5IUB2v5knOf$sPXr7DQ,FALSE,FALSE,TRUE,FALSE,gWk7Lzqt2HZYuFnuNN$s6Mhp9GaRK1t$psjYw,Wireless Expenses,FALSE,TRUE,FALSE,FALSE,,,gWtVuVmiVipgznkhk1I7uxa7lCwJg,Personal Credit Card,136.64,FALSE,23B6C51B55EE4A078C2D,sara@mn.com,TELEC,Telecom,N,136.64,USD,03/06/13,Sprint Nextel,1,136.64
HasComments,N,Camping,1070,gWnhNrzltdBWj5e59K4Pl9MI2wEwEDar5oA,FALSE,TRUE,FALSE,FALSE,gWk7Lzqt3Hu8p8XhAyPq$pKTU9MOiReujw2A,Camping Mexico,FALSE,TRUE,FALSE,FALSE,gWtbwiGzPtXVU1TaqnB76uc6SzjLOvcvMDw,"Hampton, New Hampshire",gWsZqV3MvnhFp$seGcoLUw9R3RfO2d,Cash,1282.28,FALSE,3984BF331F5647C5A5EE,daphnen_test2@anybizbu.com,LODGN,Lodging,N,100,USD,03/05/12,n/a,12.8228,100
ApprovedAmount,N,Business Visit,LODNG,gWnhNrzltdBSkqTLu8IKQ7dlANPAbjNT7fw,FALSE,FALSE,TRUE,FALSE,gWk7Lzqt2GO8rI2R2HUPey2oRjfLXk6VJZg,Hotel,FALSE,FALSE,FALSE,FALSE,gWtbwiGzPwnEjirg1BzQja2lGDw$sSQuIfsQ,"New York, New York",gWrQbNgqaxXqX6DuSJc870XryfGqV,Corporate Card IBCP (Offsets),1422.77,FALSE,742C617DC5A747BD9119,miguelr@anybizbu.com,LODGA,Lodging,N,1422.77,USD,05/03/13,Marriott Hotels,1,1422.77
HasComments,N,Business Visit,AIRFR,gWnhNrzltcmakeqRCF20W4vBFvjiwvBS9hA,FALSE,FALSE,FALSE,FALSE,gWk7Lzqt0Gpxc6q3SvIjihRcg$pimQ7KA8DQ,Airfare,FALSE,TRUE,FALSE,FALSE,,,gWrQbNgqaxXqX6DuSJc870XryfGqV,Corporate Card IBCP (Offsets),340.2,FALSE,36F2A990778C404099DA,karenb@anybizbu.com,AIRFR,Airfare,N,340.2,USD,03/24/16,Delta Air Lines,1,340.2
HasComments,N,Gift Card Purchase,MISCL,gWnhNrzltdBTeouH1uQBxvWSYa9IoPaw9$pA,FALSE,TRUE,TRUE,FALSE,gWk7Lzqt2aZwoMNTPnQntD05RwHmNDBkkoA,Miscellaneous,FALSE,FALSE,FALSE,FALSE,gWtbwiGzAsQYm7c7gZGUrlVf$pkcVyWtV0kA,"Seattle, Washington",gWsZqV3MvnhFp$seGcoLUw9R3RfO2d,Cash,10,FALSE,E27A99B1756F4992BCC3,chrish@anybiz.com,OTHER,Other,N,10,USD,09/05/12,Tango Card,1,10
ApprovedAmount,N,Business Visit,OFCSP,gWnhNrzltdWPQs7rL5IUB2v5knOf$sPXr7DQ,FALSE,TRUE,TRUE,FALSE,gWk7Lzqt1apcozI0GyhCSJ$sX26SDeuwiLng,Office Supplies,FALSE,TRUE,FALSE,FALSE,gWtbwiGzPtnQkmvRnl6L0EOUvwXHeJR8hOQ,"Los Angeles, California",gWrQbNQqsS$pg3EcuGaK6dpVebIAgN,Corporate Card CBCP,110.24,FALSE,47B3A7AB52C548DF9D6F,ericw@anybizbu.com,OFFIC,Office,N,110.24,USD,02/20/13,Staples,1,110.24
HasComments,N,Business Visit,BUSML,gWnhNrzltdBLfgkU$phmBuwlsL3Kq$sxcBIdQ,TRUE,FALSE,FALSE,FALSE,gWk7Lzqt1HZwrXZs6H6IA4yqnDhqAUaGYTA,Business Meal (attendees),FALSE,FALSE,FALSE,FALSE,,,gWsZqV3MvnhFp$seGcoLUw9R3RfO2d,Cash,79,FALSE,A94ABF9A9E914F6F935F,RDC-traveler@anybizbu.com,MEALA,Meal - Count in Daily Meal Allowance,N,79,USD,05/05/14,n/a,1,79
ApprovedAmount,N,Business Visit,AIRFR,gWnhNrzltcmakeqRCF20W4vBFvjiwvBS9hA,FALSE,FALSE,FALSE,FALSE,gWk7Lzqt0GpYvIlynnRg1c$sWObKJh$simxLQ,Airfare,FALSE,FALSE,FALSE,FALSE,gWtbwiGzAtHQla3aMdrMptAWq9rCsgQC5dg,"Washington, District of Columbia",gWsZqV3MvnhFp$seGcoLUw9R3RfO2d,Cash,0,FALSE,7E1FD05D38A742BC8C2E,wserikadmin@anybizbu.com,AIRFR,Airfare,N,0,USD,09/07/16,United Airlines,1,0
ApprovedAmount,N,Business Visit,TRDSH,gWnhNrzltdWPQs7rL5IUB2v5knOf$sPXr7DQ,FALSE,FALSE,FALSE,FALSE,gWk7Lzqt0Yp1etP2BlvTdF3o1K0KKR1gSLw,Trade Shows,FALSE,FALSE,FALSE,FALSE,,,gWsZqV3MvnhFp$seGcoLUw9R3RfO2d,Cash,999,FALSE,3EF868FF528D44419824,travelerCaseware@anybiz.com,TRADE,Trade/Convention,N,999,USD,10/01/15,caseware,1,999
ApprovedAmount,N,Business Visit,AIRFR,gWnhNrzltcmakeqRCF20W4vBFvjiwvBS9hA,FALSE,FALSE,FALSE,FALSE,gWk7Lzqt3aupZh9n7jl$sRQnBvESSzossM0A,Airfare,FALSE,FALSE,FALSE,FALSE,gWtbwiGzBxHFQ$sJgZV1iVmspV1qCtKirkSg,"Dallas-Fort Worth Int Apt, Texas",gWsxpR2vDTTegApXXBEl7olEluYIE,Corporate Card IBCP,337.4,FALSE,FFB72ABD7F9D4AC2AB05,hart_l@anybizbu.com,AIRFR,Airfare,N,337.4,USD,10/25/11,American Airlines,1,337.4
ApprovedAmount,N,Business Visit,LODNG,gWnhNrzltdBmnxR0Gsi3WF7hQXV0BZ7FeWg,FALSE,FALSE,TRUE,FALSE,gWk7Lzqt0ae9dnynrmuwpdWEABXSTPvqj3Q,Hotel,FALSE,FALSE,FALSE,FALSE,gWtbwiGzOwAEk5q1P$p0vHKfaAiqN0NlFkEA,"Bellevue, Washington",gWrQbNgqaxXqX6DuSJc870XryfGqV,Corporate Card IBCP (Offsets),1628.98,FALSE,A13D777039314BDB9CCE,sarahg@anybizbu.com,LODGA,Lodging,N,1628.98,USD,02/27/15,Hyatt Hotels,1,1628.98
ApprovedAmount,N,Wireless Expenses for (856) 264-7025,1097,gWnhNrzltdWPQs7rL5IUB2v5knOf$sPXr7DQ,FALSE,FALSE,TRUE,FALSE,gWk7Lzqt1a5ZdKoqJ0YFr3ecK9AWzz9lFhQ,Wireless Expenses,FALSE,TRUE,FALSE,FALSE,,,gWtVuVmiVipgznkhk1I7uxa7lCwJg,Personal Credit Card,136.64,FALSE,746B9C58D7DC4570976B,sara@mn.com,TELEC,Telecom,N,136.64,USD,03/06/13,Sprint Nextel,1,136.64
ApprovedAmount,N,Business Visit,1107,gWnhNrzltdxCntqlrsbL9OiNNmX2C5bY$p8Q,FALSE,FALSE,FALSE,FALSE,gWk7Lzqt0GugqtJUzvymHpDttBLEA1zqXLQ,Formula Test,FALSE,TRUE,FALSE,FALSE,,,gWsZqV3MvnhFp$seGcoLUw9R3RfO2d,Cash,1400,FALSE,8A7CDCE9F68042AD8B29,globaladmin@anybizbu.com,OTHER,Other,N,1400,USD,09/01/16,n/a,1,1400
ApprovedAmount,N,Wireless Expenses for (856) 264-7025,1097,gWnhNrzltdWPQs7rL5IUB2v5knOf$sPXr7DQ,FALSE,FALSE,TRUE,FALSE,gWk7Lzqt2GZxd7c9MH5ei8TCoy3XG1j09IA,Wireless Expenses,FALSE,TRUE,FALSE,FALSE,,,gWtVuVmiVipgznkhk1I7uxa7lCwJg,Personal Credit Card,136.64,FALSE,D16C5328DB3D4DD582FC,sara@mn.com,TELEC,Telecom,N,136.64,USD,03/06/13,Sprint Nextel,1,136.64
ApprovedAmount,N,Gift Card Purchase,MISCL,gWnhNrzltdBTeouH1uQBxvWSYa9IoPaw9$pA,FALSE,TRUE,TRUE,FALSE,gWk7Lzqt2a5dd4hDeMgGxWndJ6Wgum2n$pPQ,Miscellaneous,FALSE,FALSE,FALSE,FALSE,,,gWsZqV3MvnhFp$seGcoLUw9R3RfO2d,Cash,5,FALSE,09C5AC9E3C504F608CAF,chrish@anybiz.com,OTHER,Other,N,5,USD,05/16/12,Tango Card,1,5
HasComments,N,Business Visit,BRKFT,gWnhNrzltdWPQs7rL5IUB2v5knOf$sPXr7DQ,FALSE,FALSE,TRUE,FALSE,gWk7Lzqt0bJstDr88dbDGqEIcMNuJdT8zrg,Breakfast,FALSE,TRUE,FALSE,FALSE,gWtbwiGzAsQYm7c7gZGUrlVf$pkcVyWtV0kA,"Seattle, Washington",gWrQbNgqaxXqX6DuSJc870XryfGqV,Corporate Card IBCP (Offsets),45.76,FALSE,66CB55E4D77142D9B7E6,sriadmin@anybizbu.com,MEALA,Meal - Count in Daily Meal Allowance,N,45.76,USD,07/22/15,Cafe Monte,1,45.76
ApprovedAmount,N,"a04K0000006OSsSIAW, Adams, Marilyn, 2013-01-28",BUSML,gWnhNrzltcRDQG6PsapwBaxmWXlUvFoCnow,TRUE,FALSE,FALSE,FALSE,gWk7Lzqt2bZwmXnL$s$sOYKQOVSufVGOJEVtA,Business Meal (attendees),FALSE,TRUE,FALSE,FALSE,,,gWsZqV3MvnhFp$seGcoLUw9R3RfO2d,Cash,10.25,FALSE,E3D7E9B13CB8497A85FB,dutchin@anybiz.com,MEALA,Meal - Count in Daily Meal Allowance,N,10.25,USD,01/28/13,n/a,1,10.25
ApprovedAmount,N,Business Visit,CARRT,gWnhNrzltdBHWVyCL62Px6XaQwW6eRkJPFA,FALSE,FALSE,TRUE,FALSE,gWk7Lzqt2GJkvjoxEBgy9lcgoMtBjgXhtkw,Car Rental,FALSE,FALSE,FALSE,FALSE,gWtbwiGzBxXEvP333CHkBOac8j6mC0SMsjQ,"New York-La Guardia Apt, New York",gWrQbNgqaxXqX6DuSJc870XryfGqV,Corporate Card IBCP (Offsets),601.43,FALSE,77042340E26B498195B3,miguelr@anybizbu.com,CARRT,Car Rental,N,601.43,USD,05/24/13,Hertz,1,601.43
ApprovedAmount,N,Business Visit,LODNG,gWnhNrzltcRDVSsR0fkUK$sJ53VEUTwSJNPw,FALSE,FALSE,TRUE,FALSE,gWk7Lzqt3aJ8mMHzWPg1jdB$s3ThY0YE$pO6Q,Hotel,FALSE,FALSE,FALSE,FALSE,gWtbwiGzBxX0gEwqR6Qgnh6z4UcjyL13DnA,"Gahanna, Ohio",gWsxpR2vDTTegApXXBEl7olEluYIE,Corporate Card IBCP,314.16,FALSE,F5F4A4D02E0644EFA49B,ambers_test@anybizbu.com,LODGA,Lodging,N,314.16,USD,12/26/11,Candlewood Stes,1,314.16
ApprovedAmount,N,Callout,LUNCH,gWnhNrzltdBHWVyCL62Px6XaQwW6eRkJPFA,FALSE,FALSE,FALSE,FALSE,gWk7Lzqt2GewnOjc3ZuM0E5c7lh3rWlZAQw,Lunch,FALSE,FALSE,FALSE,FALSE,gWtbwiGzPwnEjirg1BzQja2lGDw$sSQuIfsQ,"New York, New York",gWrQbNgqaxXqX6DuSJc870XryfGqV,Corporate Card IBCP (Offsets),45.76,FALSE,67D6E648340C4F91B8E7,miguelr@anybizbu.com,MEALS,Meal,N,45.76,USD,05/09/13,Cafe Monte,1,45.76
ApprovedAmount,N,Wireless Expenses for (856) 264-7025,1097,gWnhNrzltdWPQs7rL5IUB2v5knOf$sPXr7DQ,FALSE,FALSE,TRUE,FALSE,gWk7Lzqt1ap0vUkztzgS6T1zDbelVXz5iSg,Wireless Expenses,FALSE,TRUE,FALSE,FALSE,,,gWtVuVmiVipgznkhk1I7uxa7lCwJg,Personal Credit Card,136.64,FALSE,6F8E5426166F4FF9AFC7,sara@mn.com,TELEC,Telecom,N,136.64,USD,03/06/13,Sprint Nextel,1,136.64
HasComments,N,Callout,OFCSP,gWnhNrzltdWPQs7rL5IUB2v5knOf$sPXr7DQ,FALSE,FALSE,FALSE,FALSE,gWk7Lzqt2a$sgoXugwHQKPhHvnmnU$siNoZYg,Office Supplies,FALSE,TRUE,FALSE,FALSE,gWtbwiGzOuAEgWmqiX1uP2P6D$pCR9J$pfVPg,"Broomfield, Colorado",gWrQbNglpw$pQVSMJiMYJadw7fFTb3,Purchasing Card CBCP,374.64,FALSE,E88995ABADDD4786944B,HigherEd_Testuser@anybizbu.com,OFFIC,Office,N,374.64,USD,06/11/12,STAPLES,1,374.64
